"jumperSurname","jumperName","compName","compCountry","compDate","compKPoint","jumpSeries","jumperCountry","compRankPlace","jumpSpeed","jumpDistance","jumpPoints","jumpJudgeAPoints","jumpJudgeBPoints","jumpJudgeCPoints","jumpJudgeDPoints","jumpJudgeEPoints","jumpJudgeTotalPoints","jumpGate","JumpGatePoints","jumpWind","jumpWindPoints","jumpTotalPoints","jumpRankPosition","compTotalPoints","classPoints","classPrize","jumperDateOfBirth"
"AHONEN","JANNE","Kuusamo","Finland",2013-10-29,120,1,"FIN",31,90.8,114.5,50.1,17,16.5,17,16.5,17,50.5,8,8,-0.44,6.2,114.8,31,114.8,NA,NA,1977-05-11
"AMMANN","SIMON","Kuusamo","Finland",2013-10-29,120,1,"SUI",19,90.3,128,74.4,18,17.5,17.5,18,18,53.5,9,0,0.45,-5.3,122.6,19,122.6,NA,NA,1981-06-25
"AMMANN","SIMON","Kuusamo","Finland",2013-10-29,120,2,"SUI",16,90.6,129.5,77.1,18.5,18,18,18.5,18,54.5,9,0,0.28,-3.3,128.3,9,250.9,15,1450,1981-06-25
"ASIKAINEN","LAURI","Kuusamo","Finland",2013-10-29,120,1,"FIN",40,90.1,112.5,46.5,16.5,16,16.5,16.5,16.5,49.5,9,0,-0.63,8.9,104.9,40,104.9,NA,NA,1989-05-28
"BIEGUN","KRZYSZTOF","Kuusamo","Finland",2013-10-29,120,2,"POL",18,90.1,125,69,18,17,18,17.5,17.5,53,9,0,0.24,-2.8,119.2,18,242.3,13,1300,1994-05-21
"BIEGUN","KRZYSZTOF","Kuusamo","Finland",2013-10-29,120,1,"POL",18,90.1,128,74.4,18.5,18,17,18,17.5,53.5,9,0,0.41,-4.8,123.1,18,123.1,NA,NA,1994-05-21
"BJERKEENGEN","FREDRIK","Kuusamo","Finland",2013-10-29,120,1,"NOR",44,92.2,114.5,50.1,17,16.5,16.5,16,16.5,49.5,9,0,0.26,-3,96.6,44,96.6,NA,NA,1988-11-11
"BRESADOLA","DAVIDE","Kuusamo","Finland",2013-10-29,120,1,"ITA",28,90.2,123.5,66.3,17.5,17.5,17.5,17,17.5,52.5,9,0,0.17,-2,116.8,28,116.8,NA,NA,1988-09-10
"BRESADOLA","DAVIDE","Kuusamo","Finland",2013-10-29,120,2,"ITA",24,89.9,122.5,64.5,17.5,17.5,17,17.5,17.5,52.5,9,0,0.62,-7.3,109.7,22,226.5,7,700,1988-09-10
"DESCHWANDEN","GREGOR","Kuusamo","Finland",2013-10-29,120,1,"SUI",35,89.2,118,56.4,17,17,17,16.5,17,51,9,0,-0.15,2.1,109.5,35,109.5,NA,NA,1991-02-27
"FAIRALL","NICHOLAS","Kuusamo","Finland",2013-10-29,120,1,"USA",30,89.6,120,60,17.5,17.5,17.5,17.5,17.5,52.5,9,0,-0.22,3.1,115.6,30,115.6,NA,NA,1989-07-06
"FAIRALL","NICHOLAS","Kuusamo","Finland",2013-10-29,120,2,"USA",28,89.9,113.5,48.3,16,16.5,16.5,16,16.5,49,9,0,0.79,-9.2,88.1,28,203.7,3,300,1989-07-06
"FETTNER","MANUEL","Kuusamo","Finland",2013-10-29,120,1,"AUT",29,90.3,122.5,64.5,17.5,17.5,17,17.5,17.5,52.5,9,0,0.11,-1.3,115.7,29,115.7,NA,NA,1985-06-17
"FETTNER","MANUEL","Kuusamo","Finland",2013-10-29,120,2,"AUT",25,90.4,122.5,64.5,17.5,17.5,17.5,18,17.5,52.5,9,0,0.64,-7.5,109.5,23,225.2,6,600,1985-06-17
"FREUND","SEVERIN","Kuusamo","Finland",2013-10-29,120,1,"GER",2,90.7,137,90.6,18.5,18,18,18,18,54,8,8,0.92,-10.8,141.8,2,141.8,NA,NA,1988-05-11
"FREUND","SEVERIN","Kuusamo","Finland",2013-10-29,120,2,"GER",6,90.7,126.5,71.7,18,17.5,17.5,18.5,18,53.5,9,0,0.04,-0.5,124.7,13,266.5,40,3800,1988-05-11
"GEIGER","KARL","Kuusamo","Finland",2013-10-29,120,1,"GER",16,90.4,125,69,18,17,17,17,17.5,51.5,8,8,0.41,-4.8,123.7,16,123.7,NA,NA,1993-02-11
"GEIGER","KARL","Kuusamo","Finland",2013-10-29,120,2,"GER",14,90.2,127.5,73.5,18.5,18,17.5,18.5,18,54.5,9,0,0.04,-0.5,127.5,11,251.2,18,1800,1993-02-11
"HAPPONEN","JANNE","Kuusamo","Finland",2013-10-29,120,1,"FIN",46,90.2,109,40.2,16,16.5,17,16,16,48.5,8,8,0.12,-1.4,95.3,46,95.3,NA,NA,1984-06-18
"HAZETDINOV","ILMIR","Kuusamo","Finland",2013-10-29,120,1,"RUS",41,89.5,117,54.6,17.5,17.5,17,17,17,51.5,8,8,0.92,-10.8,103.3,41,103.3,NA,NA,1991-10-28
"HVALA","JAKA","Kuusamo","Finland",2013-10-29,120,1,"SLO",26,90.3,127,72.6,18,18,17,17.5,17.5,53,9,0,0.56,-6.6,119,26,11.9,NA,NA,1993-07-15
"HVALA","JAKA","Kuusamo","Finland",2013-10-29,120,2,"SLO",27,89.6,115.5,51.9,17,17,17,17.5,17,51,9,0,0.35,-4.1,98.8,26,217.8,4,400,1993-07-15
"ITO","DAIKI","Kuusamo","Finland",2013-10-29,120,1,"JPN",5,91.1,138.5,93.3,18.5,19,18.5,18.5,18.5,55.5,9,0,0.95,-11.1,137.7,5,137.7,NA,NA,1985-12-27
"ITO","DAIKI","Kuusamo","Finland",2013-10-29,120,2,"JPN",11,90.3,127.5,73.5,18.5,18.5,17.5,17.5,18,54,9,0,0.64,-7.5,120,16,257.7,24,2400,1985-12-27
"JANDA","JAKUB","Kuusamo","Finland",2013-10-29,120,1,"CZE",44,90,104.5,32.1,15,15,14.5,14.5,15,44.5,8,8,-0.85,12,96.6,44,96.6,NA,NA,1978-04-27
"JOHANSSON","ROBERT","Kuusamo","Finland",2013-10-29,120,1,"NOR",6,90.4,140.5,96.9,19,19,19,19,18.5,57,9,0,1.47,-17.2,136.7,6,136.7,NA,NA,1990-03-23
"JOHANSSON","ROBERT","Kuusamo","Finland",2013-10-29,120,2,"NOR",13,90.7,119,58.2,17.5,17.5,17.5,17.5,17.5,52.5,9,0,-0.37,5.2,115.9,20,252.6,20,2000,1990-03-23
"KASAI","NORIAKI","Kuusamo","Finland",2013-10-29,120,1,"JPN",4,89.9,133,83.4,18.5,18.5,18,18.5,18,55,8,8,0.71,-8.3,138.1,4,138.1,NA,NA,1972-06-06
"KASAI","NORIAKI","Kuusamo","Finland",2013-10-29,120,2,"JPN",5,90.3,132,81.6,18.5,18.5,18,18.5,18,55,9,0,0.52,-6.1,130.5,5,268.6,45,4500,1972-06-06
"KLINGA","SEBASTIAN","Kuusamo","Finland",2013-10-29,120,1,"FIN",47,90.2,103.5,30.3,16,16.5,17,16.5,16.5,49.5,9,0,-0.61,8.6,88.4,47,88.4,NA,NA,1992-04-26
"KOIVURANTA","ANSSI","Kuusamo","Finland",2013-10-29,120,1,"FIN",38,89.9,117.5,55.5,17,17,17.5,17,17.5,51.5,9,0,0.02,-0.2,106.8,38,106.8,NA,NA,1988-07-03
"KOT","MACIEJ","Kuusamo","Finland",2013-10-29,120,1,"POL",17,90.4,126.5,71.7,18,18,18,18,18,54,9,0,0.18,-2.1,123.6,17,123.6,NA,NA,1991-06-09
"KOT","MACIEJ","Kuusamo","Finland",2013-10-29,120,2,"POL",21,89.9,119,58.2,17,17.5,17,17,17,51,9,0,0.18,-2.1,107.1,24,230.7,10,1000,1991-06-09
